time,signal
1766690086.7341955,82
1766690086.9566116,82
1766690087.1755967,82
1766690087.4170165,82
1766690087.6333852,82
1766690087.8645535,82
1766690088.0905547,82
1766690088.3189726,82
1766690088.5349748,82
1766690088.7647023,82
1766690088.9819558,82
1766690089.2083876,82
1766690089.4512305,82
1766690089.681555,82
1766690089.9139094,82
1766690090.1265078,82
1766690090.3591766,82
1766690090.590964,82
1766690090.8061204,82
1766690091.0243433,82
1766690091.2618682,82
1766690091.4982655,82
1766690091.717334,82
1766690091.9306157,82
1766690092.1593893,82
1766690092.3944113,82
1766690092.6499133,82
1766690092.8803396,82
1766690093.1255598,82
1766690093.3664603,83
1766690093.587648,83
1766690093.831712,83
1766690094.0693636,83
1766690094.2925909,83
1766690094.5159333,83
1766690094.7316976,83
1766690094.959263,83
1766690095.3252518,83
1766690095.5589488,83
1766690095.7929163,83
1766690096.0314176,83
1766690096.2648516,83
1766690096.4834642,83
1766690096.716759,83
1766690096.940865,83
1766690097.1813788,83
1766690097.4051607,83
1766690097.6206517,83
1766690097.8381107,83
1766690098.0526714,83
1766690098.2950428,83
1766690098.5376284,83
1766690098.7568777,83
1766690098.9792435,83
1766690099.2293186,83
1766690099.4658825,83
1766690099.7052999,83
1766690099.9427676,83
1766690100.1690483,83
1766690100.38755,83
1766690100.6192236,83
1766690100.8558052,83
1766690101.093892,83
1766690101.3289495,83
1766690101.5741348,83
1766690101.8048713,83
1766690102.0368001,83
1766690102.2541072,83
1766690102.4950812,83
1766690102.7441237,83
1766690102.9550595,83
1766690103.1931992,83
1766690103.4212365,83
1766690103.633297,83
1766690103.867227,83
1766690104.097593,83
1766690104.3243778,83
1766690104.565826,83
1766690104.7979546,83
1766690105.0112984,83
1766690105.265814,83
1766690105.4966557,83
1766690105.722916,83
1766690105.9525304,83
1766690106.2038543,83
1766690106.4479945,83
1766690106.6705985,83
1766690106.8876925,83
1766690107.1311316,83
1766690107.3697667,83
1766690107.5961614,83
1766690107.8410125,83
1766690108.086617,83
1766690108.327321,83
1766690108.5550246,83
1766690108.8004982,83
1766690109.047887,83
1766690109.28961,83
1766690109.6155574,83
1766690109.8284707,83
1766690110.065317,83
1766690110.302465,83
1766690110.54976,83
1766690110.7877657,83
1766690111.0157793,83
1766690111.253366,83
1766690111.4860544,83
1766690111.703926,83
